id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
91,SI0089RL,Kedondong,Spondias dulcis,Pohon Tua,icon/mature_tree.svg,-,41,53,Hutan Lindung Sentajo,mineral,-,-0.4740807,101.571766,1326.828,0.002458214,Belum,Belum,Belum,Padin,2021-10-19T14:31:00.000+07:00,200000,3381.947232,-,Chave (2005),media/1.91.jpg,media/2.91.jpg,media/3.91.jpg,media/4.91.jpg,adopsipohonriau/91
92,SI0088RL,Kedondong,Spondias dulcis,Pohon Muda,icon/young_tree.svg,-,40,37,Hutan Lindung Sentajo,mineral,-,-0.4741131,101.5717577,1572.696,0.002455751,Belum,Belum,Belum,Yus,2021-10-19T14:38:00.000+07:00,200000,2269.37087,-,Chave (2005),media/1.92.jpg,media/2.92.jpg,media/3.92.jpg,media/4.92.jpg,adopsipohonriau/92
93,SI0090RL,Mendarahan,Myristica iners,Pohon Tua,icon/mature_tree.svg,Least Concern,42,49,Hutan Lindung Sentajo,mineral,-,-0.4742573,101.5719191,14.5,0.002432719,Belum,Belum,Belum,Yus,2021-10-19T14:40:00.000+07:00,200000,5080.005402,-,Chave (2005),media/1.93.jpg,media/2.93.jpg,media/3.93.jpg,media/4.93.jpg,adopsipohonriau/93
94,SI0092RL,Mendarahan,Myristica iners,Pohon Muda,icon/young_tree.svg,Least Concern,32,39,Hutan Lindung Sentajo,mineral,-,-0.4741939,101.5718005,11.5,0.002445743,Belum,Belum,Belum,Yus,2021-10-19T14:44:00.000+07:00,50000,2391.013341,-,Chave (2005),media/1.94.jpg,media/2.94.jpg,media/3.94.jpg,media/4.94.jpg,adopsipohonriau/94
95,SI0091RL,Kedondong,Spondias dulcis,Pohon Tua,icon/mature_tree.svg,-,97,56,Hutan Lindung Sentajo,mineral,-,-0.4742427,101.5719831,10,0.002430183,Belum,Belum,Belum,Padin,2021-10-19T14:51:00.000+07:00,200000,19165.90935,-,Chave (2005),media/1.95.jpg,media/2.95.jpg,media/3.95.jpg,media/4.95.jpg,adopsipohonriau/95
96,SI0093RL,Kelat,Eugenia spp,Pohon Tua,icon/mature_tree.svg,Least Concern,60,39,Hutan Lindung Sentajo,mineral,-,-0.4742785,101.571789,374.898,0.002438706,Belum,Belum,Belum,Padin,2021-10-19T14:54:00.000+07:00,200000,12138.71228,-,Chave (2005),media/1.96.jpg,media/2.96.jpg,media/3.96.jpg,media/4.96.jpg,adopsipohonriau/96
97,SI0094RL,Kedondong,Spondias dulcis,Pohon Tua,icon/mature_tree.svg,-,43,35,Hutan Lindung Sentajo,mineral,-,-0.474108,101.5720397,17,0.002439179,Belum,Belum,Belum,Padin,2021-10-19T14:56:00.000+07:00,200000,2475.485157,-,Chave (2005),media/1.97.jpg,media/2.97.jpg,media/3.97.jpg,media/4.97.jpg,adopsipohonriau/97
98,SI0095RL,Pening pening,-,Pohon Tua,icon/mature_tree.svg,-,41,38,Hutan Lindung Sentajo,mineral,-,-0.4740408,101.5718421,254.681,0.002457261,Belum,Belum,Belum,Padin,2021-10-19T15:00:00.000+07:00,200000,3107.407246,-,Brown (1997),media/1.98.jpg,media/2.98.jpg,media/3.98.jpg,media/4.98.jpg,adopsipohonriau/98
99,SI0097RL,Kedondong,Spondias dulcis,Pohon Tua,icon/mature_tree.svg,-,58,67,Hutan Lindung Sentajo,mineral,-,-0.4740704,101.5722108,1008.073,0.002432459,Belum,Belum,Belum,Padin,2021-10-19T15:03:00.000+07:00,200000,8367.195972,-,Chave (2005),media/1.99.jpg,media/2.99.jpg,media/3.99.jpg,media/4.99.jpg,adopsipohonriau/99
101,SI0101RL,Keranji,Dialium kunstleri,Pohon Tua,icon/mature_tree.svg,Near Threatened,97,92,Hutan Lindung Sentajo,mineral,-,-0.4738502,101.5728303,2559.653,0.002417189,Belum,Belum,Belum,Padin,2021-10-19T15:42:00.000+07:00,200000,78269.81002,-,Chave (2005),media/1.101.jpg,media/2.101.jpg,media/3.101.jpg,media/4.101.jpg,adopsipohonriau/101
